"","Category","ProductName","Reviewer","Review","ReviewDate","Rating"
"1","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","John Invine","







  
  
    Arrived perfect sizing fits great
  
","Reviewed in the United Kingdom on 4 February 2024","5.0 out of 5 stars"
"2","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Lyn Turner","







  
  
    Good value bought for a present really pleased with it
  
","Reviewed in the United Kingdom on 15 January 2024","5.0 out of 5 stars"
"3","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Amazon Customer","







  
  
    Very well received, grandson liked them, looked good material seemed good quality
  
","Reviewed in the United Kingdom on 29 January 2024","4.0 out of 5 stars"
"4","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Williams","







  
  
    Great t shirt, looks more expensive, fits great, washes well, would recommend.
  
","Reviewed in the United Kingdom on 17 October 2023","5.0 out of 5 stars"
"5","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Amazon Customer","







  
  
    Excellent value for the money
  
","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"6","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","kym Telford","







  
  
    A really nice t-shirt size seems to come up on the bigger size though , would down size nxt time
  
","Reviewed in the United Kingdom on 12 January 2024","5.0 out of 5 stars"
"7","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","S. Thomas","







  
  
    Nice quality for the price, but is a little on the small side on both the body and arms.
  
","Reviewed in the United Kingdom on 10 November 2023","3.0 out of 5 stars"
"8","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Tina","







  
  
    Great value best seller excellent service lovely soft top
  
","Reviewed in the United Kingdom on 5 January 2024","5.0 out of 5 stars"
"9","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Dicky","







  
  
    Perfect fit, highly recommended!
  
","Reviewed in the United Kingdom on 4 January 2024","5.0 out of 5 stars"
"10","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","T,O,M","







  
  
    The sleeves are big and floaty, not like the pics of tshirts other customers have recieved. I assume this is down to poor quality control from different factories
  
","Reviewed in the United Kingdom on 1 December 2023","3.0 out of 5 stars"
"11","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","lloydymr","







  
  
    My Husband loves the Jack & Jones tea shirts, wears them every day !!! They’ve lasted years !!This one’s for Xmas, but measured against his others, perfect, Thank you !
  
","Reviewed in the United Kingdom on 26 November 2023","5.0 out of 5 stars"
"12","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Mr. Mark A. Duncan","







  
  
    Nice but too big
  
","Reviewed in the United Kingdom on 7 December 2023","3.0 out of 5 stars"
"13","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","VaLiKo","







  
  
    Perfect
  
","Reviewed in the United Kingdom on 7 December 2023","5.0 out of 5 stars"
"14","Mens Tshirt","JACK & JONES Men's Jjecorp Logo Tee Ss Crew Neck Noos Ps T-Shirt","Daddy K","







  
  
    Fits perfect
  
","Reviewed in the United Kingdom on 5 December 2023","5.0 out of 5 stars"
