"","...1","title","author","subject","abstract","meta"
"1",1,"telemoma: a modular and versatile teleoperation system for mobile manipulation","shivin dass, wensi ai, yuqian jiang, samik singh, jiaheng hu, ruohan zhang, peter stone, ben abbatematteo, roberto martin-martin","robotics","a critical bottleneck limiting imitation learning in robotics is the lack of data. this problem is more severe in mobile manipulation, where collecting demonstrations is harder than in stationary manipulation due to the lack of available and easy-to-use teleoperation interfaces. in this work, we demonstrate telemoma, a general and modular interface for whole-body teleoperation of mobile manipulators. telemoma unifies multiple human interfaces including rgb and depth cameras, virtual reality controllers, keyboard, joysticks, etc., and any combination thereof. in its more accessible version, telemoma works using simply vision (e.g., an rgb-d camera), lowering the entry bar for humans to provide mobile manipulation demonstrations. we demonstrate the versatility of telemoma by teleoperating several existing mobile manipulators - pal tiago++, toyota hsr, and fetch - in simulation and the real world. we demonstrate the quality of the demonstrations collected with telemoma by training imitation learning policies for mobile manipulation tasks involving synchronized whole-body motion. finally, we also show that telemoma's teleoperation channel enables teleoperation on site, looking at the robot, or remote, sending commands and observations through a computer network, and perform user studies to evaluate how easy it is for novice users to learn to collect demonstrations with different combinations of human interfaces enabled by our system. we hope telemoma becomes a helpful tool for the community enabling researchers to collect whole-body mobile manipulation demonstrations. for more information and video results, this https url.",2024-03-12
"2",2,"exploring safety generalization challenges of large language models via code","qibing ren, chang gao, jing shao, junchi yan, xin tan, wai lam, lizhuang ma","computation and language","the rapid advancement of large language models (llms) has brought about remarkable capabilities in natural language processing but also raised concerns about their potential misuse. while strategies like supervised fine-tuning and reinforcement learning from human feedback have enhanced their safety, these methods primarily focus on natural languages, which may not generalize to other domains. this paper introduces codeattack, a framework that transforms natural language inputs into code inputs, presenting a novel environment for testing the safety generalization of llms. our comprehensive studies on state-of-the-art llms including gpt-4, claude-2, and llama-2 series reveal a common safety vulnerability of these models against code input: codeattack consistently bypasses the safety guardrails of all models more than 80\% of the time. furthermore, we find that a larger distribution gap between codeattack and natural language leads to weaker safety generalization, such as encoding natural language input with data structures or using less popular programming languages. these findings highlight new safety risks in the code domain and the need for more robust safety alignment algorithms to match the code capabilities of llms.",2024-03-12
"3",3,"low coordinate degree algorithms i: universality of computational thresholds for hypothesis testing","dmitriy kunisky","statistics theory","we study when low coordinate degree functions (lcdf) -- linear combinations of functions depending on small subsets of entries of a vector -- can hypothesis test between high-dimensional probability measures. these functions are a generalization, proposed in hopkins' 2018 thesis but seldom studied since, of low degree polynomials (ldp), a class widely used in recent literature as a proxy for all efficient algorithms for tasks in statistics and optimization. instead of the orthogonal polynomial decompositions used in ldp calculations, our analysis of lcdf is based on the efron-stein or anova decomposition, making it much more broadly applicable. by way of illustration, we prove channel universality for the success of lcdf in testing for the presence of sufficiently ""dilute"" random signals through noisy channels: the efficacy of lcdf depends on the channel only through the scalar fisher information for a class of channels including nearly arbitrary additive i.i.d. noise and nearly arbitrary exponential families. as applications, we extend lower bounds against ldp for spiked matrix and tensor models under additive gaussian noise to lower bounds against lcdf under general noisy channels. we also give a simple and unified treatment of the effect of censoring models by erasing observations at random and of quantizing models by taking the sign of the observations. these results are the first computational lower bounds against any large class of algorithms for all of these models when the channel is not one of a few special cases, and thereby give the first substantial evidence for the universality of several statistical-to-computational gaps.",2024-03-12
"4",4,"fairness feedback loops: training on synthetic data amplifies bias","sierra wyllie, ilia shumailov, nicolas papernot","machine learning","model-induced distribution shifts (mids) occur as previous model outputs pollute new model training sets over generations of models. this is known as model collapse in the case of generative models, and performative prediction or unfairness feedback loops for supervised models. when a model induces a distribution shift, it also encodes its mistakes, biases, and unfairnesses into the ground truth of its data ecosystem. we introduce a framework that allows us to track multiple mids over many generations, finding that they can lead to loss in performance, fairness, and minoritized group representation, even in initially unbiased datasets. despite these negative consequences, we identify how models might be used for positive, intentional, interventions in their data ecosystems, providing redress for historical discrimination through a framework called algorithmic reparation (ar). we simulate ar interventions by curating representative training batches for stochastic gradient descent to demonstrate how ar can improve upon the unfairnesses of models and data ecosystems subject to other mids. our work takes an important step towards identifying, mitigating, and taking accountability for the unfair feedback loops enabled by the idea that ml systems are inherently neutral and objective.",2024-03-12
"5",5,"quantum support vector machine for prostate cancer detection: a performance analysis","walid el maouaki, taoufik said, mohamed bennai","machine learning","this study addresses the urgent need for improved prostate cancer detection methods by harnessing the power of advanced technological solutions. we introduce the application of quantum support vector machine (qsvm) to this critical healthcare challenge, showcasing an enhancement in diagnostic performance over the classical support vector machine (svm) approach. our study not only outlines the remarkable improvements in diagnostic performance made by qsvm over the classic svm technique, but it delves into the advancements brought about by the quantum feature map architecture, which has been carefully identified and evaluated, ensuring it aligns seamlessly with the unique characteristics of our prostate cancer dataset. this architecture succeded in creating a distinct feature space, enabling the detection of complex, non-linear patterns in the data. the findings reveal not only a comparable accuracy with classical svm ($92\%$) but also a $7.14\%$ increase in sensitivity and a notably high f1-score ($93.33\%$). this study's important combination of quantum computing in medical diagnostics marks a pivotal step forward in cancer detection, offering promising implications for the future of healthcare technology.",2024-03-12
"6",6,"distilling the knowledge in data pruning","emanuel ben-baruch, adam botach, igor kviatkovsky, manoj aggarwal, gérard medioni","computer vision and pattern recognition","with the increasing size of datasets used for training neural networks, data pruning becomes an attractive field of research. however, most current data pruning algorithms are limited in their ability to preserve accuracy compared to models trained on the full data, especially in high pruning regimes. in this paper we explore the application of data pruning while incorporating knowledge distillation (kd) when training on a pruned subset. that is, rather than relying solely on ground-truth labels, we also use the soft predictions from a teacher network pre-trained on the complete data. by integrating kd into training, we demonstrate significant improvement across datasets, pruning methods, and on all pruning fractions. we first establish a theoretical motivation for employing self-distillation to improve training on pruned data. then, we empirically make a compelling and highly practical observation: using kd, simple random pruning is comparable or superior to sophisticated pruning methods across all pruning regimes. on imagenet for example, we achieve superior accuracy despite training on a random subset of only 50% of the data. additionally, we demonstrate a crucial connection between the pruning factor and the optimal knowledge distillation weight. this helps mitigate the impact of samples with noisy labels and low-quality images retained by typical pruning algorithms. finally, we make an intriguing observation: when using lower pruning fractions, larger teachers lead to accuracy degradation, while surprisingly, employing teachers with a smaller capacity than the student's may improve results. our code will be made available.",2024-03-12
"7",7,"12 mj per class on-device online few-shot class-incremental learning","yoga esa wibowo, cristian cioflan, thorir mar ingolfsson, michael hersche, leo zhao, abbas rahimi, luca benini","machine learning","few-shot class-incremental learning (fscil) enables machine learning systems to expand their inference capabilities to new classes using only a few labeled examples, without forgetting the previously learned classes. classical backpropagation-based learning and its variants are often unsuitable for battery-powered, memory-constrained systems at the extreme edge. in this work, we introduce online few-shot class-incremental learning (o-fscil), based on a lightweight model consisting of a pretrained and metalearned feature extractor and an expandable explicit memory storing the class prototypes. the architecture is pretrained with a novel feature orthogonality regularization and metalearned with a multi-margin loss. for learning a new class, our approach extends the explicit memory with novel class prototypes, while the remaining architecture is kept frozen. this allows learning previously unseen classes based on only a few examples with one single pass (hence online). o-fscil obtains an average accuracy of 68.62% on the fscil cifar100 benchmark, achieving state-of-the-art results. tailored for ultra-low-power platforms, we implement o-fscil on the 60 mw gap9 microcontroller, demonstrating online learning capabilities within just 12 mj per new class.",2024-03-12
"8",8,"iterative graph neural network enhancement via frequent subgraph mining of explanations","harish g. naik, jan polster, raj shekhar, tamás horváth, györgy turán","machine learning","we formulate an xai-based model improvement approach for graph neural networks (gnns) for node classification, called explanation enhanced graph learning (eegl). the goal is to improve predictive performance of gnn using explanations. eegl is an iterative self-improving algorithm, which starts with a learned ""vanilla"" gnn, and repeatedly uses frequent subgraph mining to find relevant patterns in explanation subgraphs. these patterns are then filtered further to obtain application-dependent features corresponding to the presence of certain subgraphs in the node neighborhoods. giving an application-dependent algorithm for such a subgraph-based extension of the weisfeiler-leman (1-wl) algorithm has previously been posed as an open problem. we present experimental evidence, with synthetic and real-world data, which show that eegl outperforms related approaches in predictive performance and that it has a node-distinguishing power beyond that of vanilla gnns. we also analyze eegl's training dynamics.",2024-03-12
"9",9,"hyper-density functional theory of soft matter","florian sammüller, silas robitschko, sophie hermann, matthias schmidt","soft condensed matter","we present a scheme for investigating arbitrary thermal observables in spatially inhomogeneous many-body systems. extending the equilibrium ensemble yields any given observable as an explicit hyper-density functional. associated local fluctuation profiles follow from an exact hyper-ornstein-zernike equation. simulation-based supervised machine learning trains neural networks that act as hyper-direct correlation functionals which facilitate efficient and accurate predictions. we exemplify the approach for the cluster statistics of hard rods and square well particles. the theory provides access to complex order parameters, as is impossible in standard density functional theory.",2024-03-12
"10",10,"a machine learning and empirical bayesian approach for predictive buying in b2b e-commerce","tuhin subhra de, pranjal singh, alok patel","machine learning","in the context of developing nations like india, traditional business to business (b2b) commerce heavily relies on the establishment of robust relationships, trust, and credit arrangements between buyers and sellers. consequently, ecommerce enterprises frequently. established in 2016 with a vision to revolutionize trade in india through technology, udaan is the countrys largest business to business ecommerce platform. udaan operates across diverse product categories, including lifestyle, electronics, home and employ telecallers to cultivate buyer relationships, streamline order placement procedures, and promote special promotions. the accurate anticipation of buyer order placement behavior emerges as a pivotal factor for attaining sustainable growth, heightening competitiveness, and optimizing the efficiency of these telecallers. to address this challenge, we have employed an ensemble approach comprising xgboost and a modified version of poisson gamma model to predict customer order patterns with precision. this paper provides an in-depth exploration of the strategic fusion of machine learning and an empirical bayesian approach, bolstered by the judicious selection of pertinent features. this innovative approach has yielded a remarkable 3 times increase in customer order rates, show casing its potential for transformative impact in the ecommerce industry.",2024-03-12
