"","Category","ProductName","Reviewer","Review","TypeOfReviewer","ReviewDate","Rating"
"1","Mens Jackets","Columbia","Customer ","







  
  
    My local postmaster has been a good sort working hard complimentary my portraits sent off working long hours in an old Kathmandu vest.I thought when I saw this I'd give this one a Christmas gift.He told me today wearing perfect fit he loved itSo happy ending
  
","Verified Purchase","Reviewed in Australia on 6 December 2023","5.0 out of 5 stars"
"2","Mens Jackets","Columbia","RT","







  
  
    Good value while on special, fits well with a nice pleasant color. Lightweight fleecy vest ideal for moderate weather.
  
","Verified Purchase","Reviewed in Australia on 14 November 2023","5.0 out of 5 stars"
"3","Mens Jackets","Columbia","Crystal ","







  
  
    True size, fit my husband very well. He is super happy with it, very warm
  
","Verified Purchase","Reviewed in Australia on 28 July 2023","5.0 out of 5 stars"
"4","Mens Jackets","Columbia","ABC 99","







  
  
    Well made with many secure pockets.Anly fault is zip hat is the reverse of the usual setup which is hard to remember and may lead to breakage.
  
","Verified Purchase","Reviewed in Australia on 15 July 2021","4.0 out of 5 stars"
"5","Mens Jackets","Columbia","James Ikin","







  
  
    Got 2 of these now. Very useful extra layer in winter outside or round the house. The fit and feel is great.
  
","Verified Purchase","Reviewed in Australia on 13 July 2021","5.0 out of 5 stars"
"6","Mens Jackets","Columbia","Jeffrey Inskip","







  
  
    received my delivery in extremely quick time from overseas and clothing as advertised.
  
","Verified Purchase","Reviewed in Australia on 28 June 2021","5.0 out of 5 stars"
"7","Mens Jackets","Columbia","Muhammad Sarfraz","







  
  
    Excellent
  
","Verified Purchase","Reviewed in Australia on 10 November 2021","5.0 out of 5 stars"
"8","Mens Jackets","Columbia","Ivan Yardley","







  
  
    Just curious why the zipper is on the wrong side. Apart from that it is excellent
  
","Verified Purchase","Reviewed in Australia on 29 May 2021","4.0 out of 5 stars"
"9","Mens Jackets","Columbia","Jeremy","







  
  
    I returned this as neither my wife nor I could easily get the zip to start.  As you need to re-join the zip each time you wear it this would be a major inconvenience.  In general, I thought the quality of the garment was poorer than I expected for the price.
  
","Verified Purchase","Reviewed in Australia on 12 May 2022","1.0 out of 5 stars"
"10","Mens Jackets","Columbia","AILI J.","







  
  
    very good
  
","Verified Purchase","Reviewed in Australia on 3 June 2022","5.0 out of 5 stars"
"11","Mens Jackets","Columbia","I. M.A.","







  
    Le quedo perfecto a mi cuñado
  
  
","Verified Purchase","Reviewed in Mexico on 27 January 2021","5.0 out of 5 stars"
"12","Mens Jackets","Columbia","Syrclisa","







  
  
    I bought this for my brother for Christmas he loved it and it fit perfect.
  
","Verified Purchase","Reviewed in the United States on 10 February 2016","5.0 out of 5 stars"
"13","Mens Jackets","Columbia","Krista L.","







  
  
    My husband loves this vest!  He wears it several times a week.  He would prefer it to be slightly longer, but, as someone who has to have tall shirts & sweaters, he is very happy with this purchase.
  
","Verified Purchase","Reviewed in the United States on 9 February 2020","5.0 out of 5 stars"
"14","Mens Jackets","Columbia","FPINGR","







  
  
    The length is just below the belt, comfortable at chest and allows free range of movement for the arms. The waist has room for wearing a belt with misc. thin attachments ie: compact flashlight, smartphone holster, direct clip knife, multipurpose tool. (Not all at the same time)
  
","Verified Purchase","Reviewed in the United States on 17 January 2021","5.0 out of 5 stars"
"15","Mens Jackets","Columbia","White","







  
  
    Fits perfect! We were worried about it being narrow. It is not, fits perfect!
  
","Verified Purchase","Reviewed in the United States on 11 January 2020","5.0 out of 5 stars"
"16","Mens Jackets","Columbia","Michael","







  
  
    Vest fits great, warm, and exactly as described.
  
","Verified Purchase","Reviewed in the United States on 15 January 2024","5.0 out of 5 stars"
"17","Mens Jackets","Columbia","James","







  
  
    I am 6.2"" and around 210, iI ordered large and it is huge on me.
  
","Verified Purchase","Reviewed in the United Kingdom on 27 September 2021","2.0 out of 5 stars"
"18","Mens Jackets","Columbia","Carlos","







  
    Bien, la talla de acuerdo a lo esperado
  
  
","Verified Purchase","Reviewed in Mexico on 28 November 2021","5.0 out of 5 stars"
"19","Mens Jackets","Columbia","A. Freeman","







  
  
    This is the 3rd Columbia vest that my husband owns. It is the perfect weight, has lots of pockets for storage - cell phone, pens, business cards, even wallets. The owner of this vest actually said, ""It's kind of like a purse - you can keep so much in it that you need for the day.""It comes in many colors, is suitable for the washer and the dryer, and it matches so many things.I highly recommend this garment.
  
","Verified Purchase","Reviewed in the United States on 26 December 2020","5.0 out of 5 stars"
"20","Mens Jackets","Columbia","Amazon Customer","







  
  
    good purchase for cold winters!
  
","Verified Purchase","Reviewed in the United States on 26 January 2021","5.0 out of 5 stars"
"21","Mens Jackets","Columbia","Amazon Customer","







  
  
    good purchase for cold winters!
  
","Verified Purchase","Reviewed in the United States on 26 January 2021","5.0 out of 5 stars"
"22","Mens Jackets","Columbia","Edward Rooks","







  
  
    After owning about 4 of these vests, I know what color and size I need to replace them when they get stained. :)
  
","Verified Purchase","Reviewed in the United States on 1 March 2021","5.0 out of 5 stars"
"23","Mens Jackets","Columbia","J. Sayson","







  
  
    Great spring / fall vest.  Not too thick so nice and light.  I have other fleece vests (North Face), and fine that in the warmer spring weather, they get too warm.  The is a great vest for spring weather.Fit is as expected.  I am a 48 chest size, and wear suits that are 48R.  The Extra Large is loose and comfortable, and if you prefer snug, then go Large.Material and workmanship is spot on for a reputable company like Columbia.  No stitching problems, and zipper is top notch.No complaints here, and highly recommend this product.
  
","Verified Purchase","Reviewed in Canada on 26 March 2021","5.0 out of 5 stars"
"24","Mens Jackets","Columbia","Isa1116","







  
    Excelente, talla bien.
  
  
","Verified Purchase","Reviewed in Mexico on 4 March 2021","5.0 out of 5 stars"
"25","Mens Jackets","Columbia","Luz Vazquez","







  
    El tamaño que pedí por erro fue XLT (para más altos) pero lo conservamos. Es de excelente calidad el chaleco, muy calientito, suave y cómodo. Si eres muy alto, te recomiendo el agregado de la T en tu talla, son cm que se agradecen.
  
  
","Verified Purchase","Reviewed in Mexico on 10 December 2023","5.0 out of 5 stars"
"26","Mens Jackets","Columbia","luis f.","







  
    Es sumamente cómodo porque es muy ligero sin embargo es extremadamente cálido lo cual es perfecto para su función el precio es bastante accesible para la calidad del producto que te envían es muy bueno
  
  
","Verified Purchase","Reviewed in Mexico on 7 January 2022","5.0 out of 5 stars"
"27","Mens Jackets","Columbia","Betty P.","







  
    Lo compré para regalar y es bonito, caliente y combinable. Columbia es buena marca y dura mucho
  
  
","Verified Purchase","Reviewed in Mexico on 21 October 2021","5.0 out of 5 stars"
"28","Mens Jackets","Columbia","shinerburke","







  
  
    First off, I love Columbia products. I think their stuff is every bit as good, and better in some cases, than the higher priced brands that seem to be more fashion focused. That said, I have been harsh towards Columbia in my reviews when need be. I had a different vest of theirs that was so heavy and uncomfortable that it was unwearable and I returned it ASAP. Had still another that was made well, but the sizing was way off and it was far, far too long.Now, about this vest. I love it!I wanted something lighter to wear over flannels or other baselayers and had tried another brand that my wife had purchased for me. It was ok, but I didn't like the way it fit around the chest area and the pockets were a bit odd. I know that sounds nitpicky, but putting your hands in that vest's pockets was awkward due to the angle. As a result I told my wife I was going to order this Columbia vest and see how it worked out.After the Columbia arrived it took me maybe a minute to tell my wife she could return the other vest she had purchased. The Columbia just felt better in the way it fit. It also cost less than half what the other one did and that is always nice as well. The material of this vest is very soft, thus the title of my review, and although it is quite comfortable it seems quite durable as well. The warmth is what you would expect of a light to mid weight vest. I have worn it on some drizzly days outside and it seems to shed water decently as well. Ideally you would wear a rain jacket over it on days that are going to be wet, but I think this vest would do just fine in light rain for a while before it soaked through.I like the vest so much I'm going to order two more in different colors. Great job Columbia!
  
","Verified Purchase","Reviewed in the United States on 30 December 2018","5.0 out of 5 stars"
"29","Mens Jackets","Columbia","Cuauhtémoc","







  
    Compre de mi talla pero el tamaño es de una talla superior, la calidad no respalda el precio, solo es la marca
  
  
","Verified Purchase","Reviewed in Mexico on 7 August 2023","2.0 out of 5 stars"
"30","Mens Jackets","Columbia","J Fox","







  
  
    Love this vest.  Fits well.  Good quality.  Perfect for a cool fall evening.
  
","Verified Purchase","Reviewed in the United States on 11 December 2019","5.0 out of 5 stars"
"31","Mens Jackets","Columbia","dlh","







  
  
    this vest is well made and fits as described
  
","Verified Purchase","Reviewed in the United States on 3 November 2023","5.0 out of 5 stars"
"32","Mens Jackets","Columbia","Bob Hayen","







  
  
    wearing it out to walk the dog
  
","Verified Purchase","Reviewed in the United States on 9 January 2021","5.0 out of 5 stars"
"33","Mens Jackets","Columbia","Omar Hafiz","







  
  
    Great product
  
","Verified Purchase","Reviewed in Singapore on 28 January 2023","5.0 out of 5 stars"
"34","Mens Jackets","Columbia","Richard D.","







  
  
    Columbia does not disappoint with the quality of their vests! Though this may seem like the entry-level vest for them, it's functionally served me well with it's multitude of pockets. Heck, having pockets itself is a huge plus for a vest. You can't expect it to take you through a snowstorm but the fleece that they use in their vests are soft, modestly warm and feel quality to the touch. My only qualm is that it's a bit long for a vest, but I am quite a short person so I can't say that I didn't expect this, but it still serves its purpose!
  
","Verified Purchase","Reviewed in the United States on 25 November 2016","5.0 out of 5 stars"
"35","Mens Jackets","Columbia","Mau69","







  
    Muy buena calidad, mas abrigador que otros mas economicos y ademas a buen precio, lo adquiri con rebaja.
  
  
","Verified Purchase","Reviewed in Mexico on 20 September 2022","5.0 out of 5 stars"
"36","Mens Jackets","Columbia","Amazon Customer","







  
  
    Elderly  gent...wears indoors. Looks nice. Feels nice. Warm.
  
","Verified Purchase","Reviewed in the United States on 22 December 2022","5.0 out of 5 stars"
"37","Mens Jackets","Columbia","Omar Siddique","







  
  
    A surprisingly good fit on this lightweight vest.I'm an odd (men's) size somewhere L and XL for most tops, so a lot of things are either tight or baggy. This one (L) is just right for me for outdoor active wear-- fitted but not snug. I could easily wear a couple of tee-shirts or one heavier top underneath. The shoulders come out a little further than I expected (more than they do on the model), so paired with a shorter-sleeved tee may look funny.The material is lightweight (thinner than I expected) but feels warm. This is definitely active-wear or for mildly cool temperatures, it won't keep you warm in frigid temps except as one of multiple layers. A good choice when it's too warm to be active with a long-sleeved jacket, but too cool to skip a heavier layer. For me, this is a hiking vest.Recommended.
  
","Verified Purchase","Reviewed in the United States on 25 October 2016","5.0 out of 5 stars"
"38","Mens Jackets","Columbia","Sirgood","







  
    Non mi è piaciuto il fatto che nelle foto c'era il marchio Columbia ricamato sul petto e invece sul prodotto non c'era nulla, Columbia era scritto solo in una etichetta interna. Devo dire che mi puzza un po di fake, mi dispiace perchè se volevo prendere un prodotto anonimo prodotto in Bangladesh probabilmente potevo risparmiare dei soldi. Alla fine comunque il prodotto è discreto, niente di più. Veste piuttosto abbondante, se siete a cavallo di due taglie vi suggerisco di prendere quella più piccola.
  
  
","Verified Purchase","Reviewed in Italy on 5 February 2024","3.0 out of 5 stars"
"39","Mens Jackets","Columbia","Jorge M.","







  
    Más grueso y calientito que como imaginaba, sin llegar a ser bultoso, color perfecto, talla un poquito amplia pero aceptable y calidad superior a lo que esperaba
  
  
","Verified Purchase","Reviewed in Mexico on 21 January 2024","5.0 out of 5 stars"
"40","Mens Jackets","Columbia","Jenny","







  
  
    I am a 43 y.o. ""big and tall"" female. This men's big and tall 3x vest fits me perfectly and I especially love the longer length. Columbia clothing runs small and the women's 3x fits fine in the front except it's too short. It's a shame they don't make big and tall in women's. I ordered 2 charcoal grey vests, they are a definite staple and I wear them often. Columbia is a great company with excellent quality clothing.
  
","Verified Purchase","Reviewed in the United States on 4 February 2020","5.0 out of 5 stars"
"41","Mens Jackets","Columbia","Jenny","







  
  
    I am a 43 y.o. ""big and tall"" female. This men's big and tall 3x vest fits me perfectly and I especially love the longer length. Columbia clothing runs small and the women's 3x fits fine in the front except it's too short. It's a shame they don't make big and tall in women's. I ordered 2 charcoal grey vests, they are a definite staple and I wear them often. Columbia is a great company with excellent quality clothing.
  
","Verified Purchase","Reviewed in the United States on 4 February 2020","5.0 out of 5 stars"
"42","Mens Jackets","Columbia","Christie bennner","







  
  
    This is a cute vest that is warm and made with quality!
  
","Verified Purchase","Reviewed in the United States on 21 January 2024","5.0 out of 5 stars"
"43","Mens Jackets","Columbia","Janine","







  
  
    Have as a gift.  Wears all the time. Great quality.  True to size.  Length appropriate.
  
","Verified Purchase","Reviewed in the United States on 1 March 2023","5.0 out of 5 stars"
"44","Mens Jackets","Columbia","Rodolfo Gómez Hernández","







  
    No concuerda la talla, muy pequeña
  
  
","Verified Purchase","Reviewed in Mexico on 5 March 2020","1.0 out of 5 stars"
"45","Mens Jackets","Columbia","Rotes Blad","







  
    Ich bin sehr zufrieden mit der Weste, sie ist weich und angenehm zu tragen.
  
  
","Verified Purchase","Reviewed in Germany on 11 May 2021","5.0 out of 5 stars"
"46","Mens Jackets","Columbia","JAVIER NAVAR HERNANDEZ","







  
    Muy practico y cómodo
  
  
","Verified Purchase","Reviewed in Mexico on 31 January 2023","5.0 out of 5 stars"
"47","Mens Jackets","Columbia","RJ","







  
  
    Fits Perfectly and looks really good on!
  
","Verified Purchase","Reviewed in the United States on 31 December 2023","5.0 out of 5 stars"
"48","Mens Jackets","Columbia","Wojciech Kaminski","







  
  
    Quality is brilliant
  
","Verified Purchase","Reviewed in the United Kingdom on 27 October 2023","5.0 out of 5 stars"
"49","Mens Jackets","Columbia","Kit K.","







  
  
    This was a gift. Very happy with the purchase.
  
","Verified Purchase","Reviewed in the United States on 17 April 2023","5.0 out of 5 stars"
"50","Mens Jackets","Columbia","Joseph R.","







  
  
    Good fabric, size is as expected, color is what I wanted, the vest is great to wear around the house in the winter or under a coat outdoors.  A warm core equals a warm body.
  
","Verified Purchase","Reviewed in the United States on 23 December 2022","5.0 out of 5 stars"
"51","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Ntwine","







  
  
    Bought as a gift for a friend. The fit is a little larger than expected so I recommend going for Au fit rather than Asian fit.
  
","Verified Purchase","Reviewed in Australia on 26 January 2024","5.0 out of 5 stars"
"52","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Raimy","







  
  
    Really nice jacket, looks as real leather.
  
","Verified Purchase","Reviewed in the United Kingdom on 18 February 2020","5.0 out of 5 stars"
"53","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Amazon Customer","







  
  
    My husband and I share this jacket. We got an XL and it fits both of us perfectly. For me, I love the oversized fit. For him, it’s the perfect fit. I did however miss out on the fact that it isn’t black, but a dark brown. But I actually love the shade of brown that it is. Super good quality!!! And warm!
  
","Verified Purchase","Reviewed in the United States on 19 January 2024","5.0 out of 5 stars"
"54","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Amazon Customer","







  
  
    Really really great jacket.True to size and looks premium quality.
  
","Verified Purchase","Reviewed in the United Kingdom on 23 December 2023","5.0 out of 5 stars"
"55","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Muhammad Sultan Ali Chohan","







  
    El material se ve de buena calidad aunque no se que resistencia tenga al tiempo, la talla está bien definida y en general al ser Tommy Hilfiger se aprecia un producto a la altura de la marca, aunque nunca la había visto en ninguna tienda de la marca.
  
  
","Verified Purchase","Reviewed in Mexico on 15 April 2023","5.0 out of 5 stars"
"56","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Cliente de Amazon","







  
  
    I am nearly 6'5"" tall and about 190lbs and the large fit me like a glove the sleeves come up a little short when my hands aren't perfectly by my sides, but at my height that's a normal thing.Also very rare for me to find something so long that isn't a swimming pool in the body. I usually have to take all my clothing purchases straight to my tailor. But not this jacket!Overall it looks fantastic and is comfortable for faux leather thanks to its lining.Ended up purchasing the brown one after and gave this navy one to a friend as the blue was too similar to my jeans.
  
","Verified Purchase","Reviewed in Canada on 12 August 2021","5.0 out of 5 stars"
"57","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Matt","







  
    El color es muy bonito y queda como se esperaba
  
  
","Verified Purchase","Reviewed in Mexico on 4 November 2023","5.0 out of 5 stars"
"58","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Matt","







  
  
    I’m 170 cm and 70 kg it’s fit me perfect. I’ll bye another colour as well..
  
","Verified Purchase","Reviewed in the United Kingdom on 15 January 2021","5.0 out of 5 stars"
"59","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Francisco Andrade","







  
  
    Very nice jacket
  
","Verified Purchase","Reviewed in the United Kingdom on 6 September 2018","5.0 out of 5 stars"
"60","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Salar","







  
  
    I love this coat I've gotten many compliments on it and it keeps me very warm! I actually put this in the washing machine and nothing happened to it. Perfect fall statement piece!
  
","Verified Purchase","Reviewed in the United States on 26 January 2024","5.0 out of 5 stars"
"61","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Collins Rozario","







  
  
    Cool
  
","Verified Purchase","Reviewed in the United Kingdom on 31 January 2021","4.0 out of 5 stars"
"62","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Jesus ","







  
    Se siente de buena calidad
  
  
","Verified Purchase","Reviewed in Mexico on 21 June 2023","5.0 out of 5 stars"
"63","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Jaclyn","







  
  
    My husband is very hard to buy for as he has a large waist and is short with short arms.  This jacket fit perfectly and is light weight which is what he wanted it for spring and fall.  He is around 5'9"" and 176 lbs.
  
","Verified Purchase","Reviewed in Canada on 7 March 2021","4.0 out of 5 stars"
"64","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Bruno14","







  
  
    I got lots of 'Nice jacket !' comments on it  .
  
","Verified Purchase","Reviewed in Canada on 14 October 2022","5.0 out of 5 stars"
"65","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Whoward","







  
  
    Not made in USA as advertised took almost 6wks delivery made in China don’t buy
  
","Verified Purchase","Reviewed in the United Kingdom on 20 July 2021","1.0 out of 5 stars"
"66","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Cliente de Kindle","







  
    Muy buena.
  
  
","Verified Purchase","Reviewed in Mexico on 11 January 2024","4.0 out of 5 stars"
"67","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Alex Calder","







  
    Muy bonita, el corte es perfecto, luce bien y es cómoda. La talla ajusta bien si no usas una prenda adicional como chaleco o suéter.
  
  
","Verified Purchase","Reviewed in Mexico on 24 August 2023","5.0 out of 5 stars"
"68","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Brandi","







  
  
    Really nicely made and looks good with almost everything. Bought for teenage son, he loves it.
  
","Verified Purchase","Reviewed in the United States on 27 January 2024","5.0 out of 5 stars"
"69","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Sebastian","







  
    La calidad de la chamarra es increíble, superó mis expectativas, volvería a comprarla.
  
  
","Verified Purchase","Reviewed in Mexico on 14 February 2024","5.0 out of 5 stars"
"70","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Brenda Sullivan","







  
  
    He liked it alot nice little jacket true to size
  
","Verified Purchase","Reviewed in Canada on 18 July 2023","5.0 out of 5 stars"
"71","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Regeneration","







  
  
    I have been looking for a leather jacket for some time. Bought a few products from Amazon and tried others in stores and all of them came with insanely long sleeves. Superman sleeves. And because its leather, a tailor cannot just fix it.Finally, I bought this Tommy Hilfiger leather jacket and I surprised to see it's true to size and its sleeves are normal. At first I wasn't thrilled about it because of the internal white-blue pattern thing, non-leather ends on the sleeves and belly. But after wearing it, I can confirm it's a great leather jacket.It is warm, without defects or bad areas, and it looks great. And best of all, it actually fits normal people with regular arms.
  
","Verified Purchase","Reviewed in the United States on 14 February 2024","5.0 out of 5 stars"
"72","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Regeneration","







  
    EXCELENTE  CALIDAD
  
  
","Verified Purchase","Reviewed in Mexico on 3 January 2024","5.0 out of 5 stars"
"73","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","daniel","







  
  
    Solid jacket - reasonably priced and actually looks and feels like leather.
  
","Verified Purchase","Reviewed in Canada on 14 November 2020","5.0 out of 5 stars"
"74","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Thundernugs","







  
    Me quedo perfecta y se ve elegante, me gusto mucho.
  
  
","Verified Purchase","Reviewed in Mexico on 31 January 2023","5.0 out of 5 stars"
"75","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","LJaime GPS","







  
  
    Amazing quality, but it runs small, I recommend going a size up! (2 Sizes if you have a bit of a gut)
  
","Verified Purchase","Reviewed in Canada on 10 December 2018","5.0 out of 5 stars"
"76","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Jezebel","







  
  
    What my grandson wanted for Christmas.
  
","Verified Purchase","Reviewed in the United States on 30 December 2023","4.0 out of 5 stars"
"77","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","oipics","







  
  
    It's a nice mid-weight jacket. However, my biggest dislike is the shallow front pockets. I would be hesitant in carrying anything in them.
  
","Verified Purchase","Reviewed in the United States on 26 December 2023","5.0 out of 5 stars"
"78","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","William R Malady","







  
    Una gran compra, muy lindo color, textura AAA, gran comodidad. Muy satisfecho con la compra.
  
  
","Verified Purchase","Reviewed in the United States on 27 September 2023","3.0 out of 5 stars"
"79","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","José David Cardona","







  
  
    This is a good imitation leather jacket for spring and fall and maybe cool summer evenings.  It looks good and is comfortable.  Mine is the dark brown and it looks great.  Collar and cuffs are good.  Very happy with it.  A size-large is just right for me.  I'm 5-10, 200lbs.  Just remember this is really for casual wear.  It's not real leather, so it isn't for real rugged work in harsh conditions in the woods or something like that, and it's not going to be good and tough for a lot of motorcycle or ATV wear or things along those lines.  But if, like me, you're looking for a casual wear leather type jacket at a very good price then this fits the bill.
  
","Verified Purchase","Reviewed in the United States on 27 June 2022","5.0 out of 5 stars"
"80","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Tinserblic","







  
    Buen producto
  
  
","Verified Purchase","Reviewed in the United States on 3 October 2023","4.0 out of 5 stars"
"81","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","ron arad","







  
  
    I ordered the first jacket that had a difect, sleeve not stiched under the arm. I reordered the second one that the collar looks warn out after 2 weeks of use.I expected better quality from Tommy Hilfiger brand.
  
","Verified Purchase","Reviewed in the United States on 29 January 2024","2.0 out of 5 stars"
"82","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","ron arad","







  
  
    I read many reviews to figure out what size I should get and all the reviews helped me decide.My stats are: 6'1"" tall; 220# weight; 36-38 waist;  44-46 chest.  I workout so my arms and shoulders are bigger than normal.  I ordered size XL and it all fit great as if it was made for me.  Some jackets I have are either too lengthy than I'd like them to be, too small or tight in the arms and shoulders or just too much room that the jacket hangs down.  But the XL gives just enough room with a shirt inside and the bottom just falls no more than an inch below the waist which is what I want.The quality of the jacket is very impressive.  I have a Bomber jacket (filled) which cost me almost $200 and its a great jacket for winter only.  The collar holds its form well.  Inside lining feels great.  Wear it throughout most of the year except summer.  Versatile to use as dress up or down.My only con is the packaging.  The item is loose in the package and to think that it's leather, regardless of what type, Amazon should at least fold the jacket loosely to a cardboard then the clear plastic bag before placing it in the mailing bag.
  
","Verified Purchase","Reviewed in the United States on 24 September 2018","2.0 out of 5 stars"
"83","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Lance","







  
  
    Nice. Well made. I would prefer a different lining pattern. The blue crossing stripes looks kind of country. It does not fit the rest of the jacket.
  
","Verified Purchase","Reviewed in the United States on 7 February 2023","5.0 out of 5 stars"
"84","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Paul","







  
  
    I ordered a size larger in this because I wanted a looser fit, and it fits just how I wanted it too. I would say if you want it to fit perfect definitely order your normal size. This jacket is nice and warm as well which I love. At first it had a weird smell but now I think that it has loosened up a bit and smells normal now.
  
","Verified Purchase","Reviewed in the United States on 27 January 2023","4.0 out of 5 stars"
"85","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Duffy Betterton","







  
  
    Tóo heavy and too thick
  
","Verified Purchase","Reviewed in the United States on 11 September 2023","5.0 out of 5 stars"
"86","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Stephen C.","







  
  
    The faux leather in this coat feels more like the butter-soft real leather I have been looking (and not finding) in an affordable jacket.  Well done Tommy H.
  
","Verified Purchase","Reviewed in the United States on 2 June 2023","3.0 out of 5 stars"
"87","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Robert","







  
  
    I live in Hou., Tx so for the 2 months out of the year I may actually need or get to wear it, it's perfect for the cost and looks much more expensive.
  
","Verified Purchase","Reviewed in the United States on 1 December 2022","5.0 out of 5 stars"
"88","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","JEB","







  
  
    I loved this leather jacket. I usually have a hard time finding the right fit for my body, but this jacket fits just right.  It feels really comfy and warm in this winter weather.  And the price is not as high as you’d expect for a leather jacket.  ***HOWEVER, the fabric around the neck started to fall apart after only a few times of wearing it.  This really gave me the impression of very poor quality materials on this Jacket.  That may explain the low price in it. Overall a nice jacket but made of poor materials.  I returned it for a refund.
  
","Verified Purchase","Reviewed in the United States on 24 December 2022","4.0 out of 5 stars"
"89","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Marv S.","







  
  
    Perfect fit i usually wear M size
  
","Verified Purchase","Reviewed in the United States on 6 July 2023","3.0 out of 5 stars"
"90","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Federico Rumi","







  
  
    Bought this coat for a coworker that suggested would be a great payment for the help he put in, helping me move. Uhhhmmm. Definitely interested in that, lol. He received the jacket earlier than expected and he’s very happy with it.
  
","Verified Purchase","Reviewed in the United States on 7 March 2023","5.0 out of 5 stars"
"91","Mens Shorts","Tommy Hilfiger Men's Smooth Lamb","Amazon Customer","







  
  
    Very nice looking jacket! Quality and fit on point!The blue color stands out!
  
","Verified Purchase","Reviewed in the United States on 8 June 2023","5.0 out of 5 stars"
